City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Piacabucu,BR,2020-02-23 05:22:09,-10.41,-36.43,78.84,86,12,6.62
106,Marsa Matruh,EG,2020-02-23 05:22:09,31.35,27.25,48.2,76,75,6.93
107,Kashary,RU,2020-02-23 05:22:09,49.04,41.01,34.02,100,100,6.33
108,Mananara,MG,2020-02-23 05:22:10,-16.17,49.77,80.46,77,100,7.07
109,Rawson,AR,2020-02-23 05:22:10,-43.3,-65.1,71.58,41,0,24.2
110,Bonthe,SL,2020-02-23 05:22:10,7.53,-12.51,78.42,91,28,3.06
111,Shilovo,RU,2020-02-23 05:22:10,54.32,40.87,33.01,72,100,7.0
112,Halberstadt,DE,2020-02-23 05:22:11,51.9,11.05,46.0,92,100,7.0
113,Risor,NO,2020-02-23 05:22:11,58.72,9.23,39.0,85,66,1.01
114,Mehamn,NO,2020-02-23 05:22:11,71.04,27.85,24.84,84,0,10.92
115,Iqaluit,CA,2020-02-23 05:22:11,63.75,-68.51,-32.01,66,20,13.87
116,Niquero,CU,2020-02-23 05:22:12,20.04,-77.58,71.04,82,19,16.53
117,Cayenne,GF,2020-02-23 05:22:12,4.93,-52.33,80.6,83,75,5.82
118,Tibu,CO,2020-02-23 05:22:12,8.64,-72.74,74.8,93,88,3.29
119,Dingle,PH,2020-02-23 05:22:12,11.0,122.67,82.89,66,33,16.75
120,Scarborough,GB,2020-02-23 05:22:13,54.28,-0.4,42.8,93,100,5.82
121,Bathsheba,BB,2020-02-23 05:22:13,13.22,-59.52,77.0,83,20,4.7
122,Harper,LR,2020-02-23 05:22:13,4.38,-7.72,76.91,97,63,2.89
123,Sistranda,NO,2020-02-23 05:22:13,63.73,8.83,39.2,80,75,28.86
124,Mantua,IT,2020-02-23 05:22:13,45.17,10.78,44.01,93,83,3.36
125,Laguna,US,2020-02-23 05:22:14,38.42,-121.42,54.0,81,1,10.29
126,Grand Gaube,MU,2020-02-23 05:22:14,-20.01,57.66,82.0,88,75,11.81
127,Venado Tuerto,AR,2020-02-23 05:22:14,-33.75,-61.97,54.0,81,48,8.03
128,Comodoro Rivadavia,AR,2020-02-23 05:22:14,-45.87,-67.5,73.4,33,19,14.99
129,Dutlwe,BW,2020-02-23 05:22:15,-23.98,23.9,74.64,63,26,11.12
130,Nguruka,TZ,2020-02-23 05:22:15,-5.11,31.04,71.82,85,100,2.37
131,Mlimba,TZ,2020-02-23 05:22:15,-8.8,35.82,74.97,97,100,1.01
132,Torbay,CA,2020-02-23 05:22:15,47.67,-52.73,28.99,86,90,20.8
133,Qaanaaq,GL,2020-02-23 05:22:15,77.48,-69.36,-13.32,90,99,2.62
134,Chatakonda,IN,2020-02-23 05:22:16,17.55,80.65,87.42,31,0,8.66
135,Chuy,UY,2020-02-23 05:22:16,-33.7,-53.46,58.23,90,0,3.38
136,Taloqan,AF,2020-02-23 05:22:16,36.74,69.53,55.45,25,12,4.45
137,Saint George,US,2020-02-23 05:22:16,37.1,-113.58,44.01,87,90,6.93
138,Qaqortoq,GL,2020-02-23 05:22:16,60.72,-46.03,24.8,73,100,11.41
139,San Andres,CO,2020-02-23 05:17:39,12.58,-81.7,80.6,74,20,6.93
140,Boa Esperanca,BR,2020-02-23 05:22:17,-21.09,-45.57,61.47,95,88,4.52
141,Roald,NO,2020-02-23 05:22:17,62.58,6.13,37.99,67,98,19.46
142,Vila Velha,BR,2020-02-23 05:22:17,-20.33,-40.29,73.4,88,90,4.7
143,Sabaudia,IT,2020-02-23 05:22:17,41.3,13.03,48.0,93,40,3.36
144,Chapais,CA,2020-02-23 05:22:18,49.78,-74.85,26.6,73,75,8.05
145,Samana,DO,2020-02-23 05:22:18,19.21,-69.34,68.49,97,43,1.25
146,Itu,BR,2020-02-23 05:22:18,-23.26,-47.3,66.2,72,75,14.99
147,Portmore,JM,2020-02-23 05:22:18,17.97,-76.87,77.0,83,20,9.17
